Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2022-12-27,U (Sep 2023),27.0700,27.0700,27.0000,27.0700,27.05,0,1,0,1
2022-12-28,U (Sep 2023),0.0000,26.9000,26.8500,0.0000,26.95,-0.10,0,0,1
2022-12-29,U (Sep 2023),26.7200,26.9000,26.7000,26.7900,26.825,-0.125,32,0,32
2022-12-30,U (Sep 2023),26.9000,27.0000,26.9000,26.9500,26.925,0.100,9,0,41
2023-01-03,U (Sep 2023),0.0000,26.8000,26.6000,0.0000,26.50,-0.425,0,0,41
2023-01-04,U (Sep 2023),26.3000,26.3500,26.1300,26.2000,26.075,-0.425,45,0,86
2023-01-05,U (Sep 2023),26.1500,26.2000,26.1100,26.1500,26.075,0.000,8,0,92
2023-01-06,U (Sep 2023),25.5000,25.9000,25.5000,25.5000,25.50,-0.575,2,0,94
2023-01-09,U (Sep 2023),25.4000,25.5600,25.4000,25.5500,25.55,0.05,27,0,121
2023-01-10,U (Sep 2023),25.2500,25.5500,25.1500,25.1500,25.125,-0.425,4,0,122
2023-01-11,U (Sep 2023),25.1100,25.1100,25.0000,25.0500,25.00,-0.125,11,0,133
2023-01-12,U (Sep 2023),24.8000,24.9000,24.6500,24.8000,24.775,-0.225,10,0,137
2023-01-13,U (Sep 2023),24.6000,24.7500,24.1500,24.7000,24.375,-0.400,10,0,144
2023-01-17,U (Sep 2023),24.4000,24.6400,24.4000,24.6000,24.475,0.100,4,0,145
2023-01-18,U (Sep 2023),24.4000,25.1000,24.4000,24.9500,25.05,0.575,37,0,180
2023-01-19,U (Sep 2023),25.1000,25.2800,24.9200,25.0000,25.025,-0.025,208,0,300
2023-01-20,U (Sep 2023),25.1000,25.1000,24.5300,24.6000,24.55,-0.475,259,0,419
2023-01-23,U (Sep 2023),24.6000,24.6500,24.2000,24.3100,24.275,-0.275,134,0,513
2023-01-24,U (Sep 2023),24.2000,24.2000,23.8000,23.8300,23.80,-0.475,232,0,628
2023-01-25,U (Sep 2023),24.1000,24.1000,23.5300,23.6000,23.575,-0.225,325,0,652
2023-01-26,U (Sep 2023),23.5200,23.6000,23.2200,23.3000,23.30,-0.275,440,0,847
2023-01-27,U (Sep 2023),23.3000,23.3500,23.0000,23.0800,23.075,-0.225,293,0,878
2023-01-30,U (Sep 2023),23.1500,23.3500,23.1000,23.1500,23.125,0.050,298,0,1069
2023-01-31,U (Sep 2023),23.1500,23.3700,22.8900,22.9500,22.925,-0.200,271,0,1127
2023-02-01,U (Sep 2023),22.9500,23.1500,22.5700,22.6000,22.725,-0.200,280,0,1210
2023-02-02,U (Sep 2023),22.6500,23.0300,22.4300,22.9000,22.825,0.100,337,0,1305
2023-02-03,U (Sep 2023),22.9000,23.3000,22.8500,23.0700,23.05,0.225,275,0,1426
2023-02-06,U (Sep 2023),23.2200,23.3200,23.0500,23.1500,23.15,0.10,311,0,1535
2023-02-07,U (Sep 2023),23.1500,23.3000,22.8500,23.0500,22.90,-0.25,483,0,1712
2023-02-08,U (Sep 2023),23.0500,23.4000,22.9500,23.3200,23.325,0.425,1266,0,2720
2023-02-09,U (Sep 2023),23.3600,23.7500,23.0500,23.7000,23.70,0.375,1287,0,3207
2023-02-10,U (Sep 2023),23.6000,24.0200,23.6000,23.9500,23.925,0.225,1208,0,3669
2023-02-13,U (Sep 2023),23.9100,24.0000,23.3800,23.4300,23.45,-0.475,1177,0,4589
2023-02-14,U (Sep 2023),23.4300,23.4500,23.0100,23.1900,23.10,-0.35,880,0,4638
2023-02-15,U (Sep 2023),23.2000,23.2500,22.9000,22.9500,22.95,-0.15,1379,0,5162
2023-02-16,U (Sep 2023),23.0000,23.4200,22.9000,23.4100,23.3967,0.4467,1042,0,4937
2023-02-17,U (Sep 2023),23.5000,23.7700,23.4000,23.4700,23.45,0.0533,1124,0,5097
2023-02-21,U (Sep 2023),23.5500,24.2000,23.4500,24.1700,24.10,0.65,1480,0,5192
2023-02-22,U (Sep 2023),24.1500,24.2700,23.7200,23.7200,23.80,-0.30,1740,0,5593
2023-02-23,U (Sep 2023),23.7000,23.8500,23.3900,23.4100,23.45,-0.35,1767,0,5567
2023-02-24,U (Sep 2023),23.5000,24.1000,23.4500,23.9300,24.00,0.55,1339,0,5869
2023-02-27,U (Sep 2023),23.9500,23.9500,23.4800,23.5800,23.5958,-0.4042,1447,0,6038
2023-02-28,U (Sep 2023),23.5500,23.6700,23.2700,23.4500,23.379,-0.2168,1106,0,5931
2023-03-01,U (Sep 2023),23.5000,23.6800,23.3500,23.5700,23.65,0.271,1239,0,6138
2023-03-02,U (Sep 2023),23.6500,23.8500,23.1000,23.2000,23.15,-0.50,1045,0,6213
2023-03-03,U (Sep 2023),23.2000,23.2500,22.7500,22.7500,22.80,-0.35,1974,0,6533
2023-03-06,U (Sep 2023),22.8000,22.8000,22.4700,22.5000,22.5116,-0.2884,1012,0,6701
2023-03-07,U (Sep 2023),22.4700,22.7700,22.4000,22.7500,22.75,0.2384,1258,0,7067
2023-03-08,U (Sep 2023),22.7200,22.8000,22.4500,22.5100,22.5728,-0.1772,1702,0,7122
2023-03-09,U (Sep 2023),22.5200,23.5500,22.2700,23.5400,23.5127,0.9399,2575,0,7346
2023-03-10,U (Sep 2023),23.6000,25.5700,23.2800,24.5300,24.6278,1.1151,5685,275,7798
2023-03-13,U (Sep 2023),24.3500,25.4500,23.8300,24.9500,25.0026,0.3748,2959,0,7739
