Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2023-05-17,Z (Dec 2023),24.1500,24.2000,23.8000,23.8200,23.9172,-0.2328,2001,0,8628
2023-05-18,Z (Dec 2023),23.8700,23.9000,23.6700,23.7100,23.8004,-0.1168,2610,0,9504
2023-05-19,Z (Dec 2023),23.7700,24.1500,23.5700,24.1500,24.11,0.3096,1492,0,9811
2023-05-22,Z (Dec 2023),24.2500,24.2500,23.8200,23.8500,23.9308,-0.1792,1062,0,9922
2023-05-23,Z (Dec 2023),23.8000,24.1200,23.6900,23.9200,23.9229,-0.0079,1376,0,10296
2023-05-24,Z (Dec 2023),23.9000,24.0600,23.8200,23.9000,24.00,0.0771,1185,0,10310
2023-05-25,Z (Dec 2023),23.9000,24.0300,23.7200,23.8000,23.80,-0.20,1232,0,10403
2023-05-26,Z (Dec 2023),23.8000,23.8500,23.2700,23.2700,23.40,-0.40,1126,0,10709
2023-05-30,Z (Dec 2023),23.1500,23.4500,22.9700,23.2500,23.30,-0.10,1907,0,10598
2023-05-31,Z (Dec 2023),23.2700,23.4500,23.0200,23.1000,23.05,-0.25,2177,0,10908
2023-06-01,Z (Dec 2023),23.1000,23.1200,22.3500,22.4100,22.40,-0.65,2668,0,10640
2023-06-02,Z (Dec 2023),22.4000,22.4500,21.6600,21.9600,21.85,-0.55,2752,0,11187
2023-06-05,Z (Dec 2023),22.0000,22.0000,21.6700,21.7200,21.70,-0.15,1751,0,11668
2023-06-06,Z (Dec 2023),21.7000,21.7500,20.9200,21.0700,20.9762,-0.7238,1665,0,11778
2023-06-07,Z (Dec 2023),21.0700,21.2500,21.0300,21.1300,21.15,0.1738,2106,0,12042
2023-06-08,Z (Dec 2023),21.2000,21.2100,20.7500,20.8500,20.80,-0.35,2036,0,12214
2023-06-09,Z (Dec 2023),20.8500,20.9100,20.6500,20.7000,20.70,-0.10,1221,0,12356
2023-06-12,Z (Dec 2023),20.6500,20.9600,20.6500,20.7000,20.75,0.05,1518,0,12810
2023-06-13,Z (Dec 2023),20.7000,20.8500,20.5000,20.8500,20.725,-0.025,2573,0,13496
2023-06-14,Z (Dec 2023),20.8000,20.9000,20.4000,20.5500,20.5429,-0.1821,2003,0,13760
2023-06-15,Z (Dec 2023),20.6500,20.7000,20.4200,20.6500,20.70,0.1571,2271,0,14330
2023-06-16,Z (Dec 2023),20.6200,20.7500,20.2000,20.4000,20.30,-0.40,2816,0,14513
