Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2023-05-22,G (Feb 2024),0.0000,24.8000,25.1000,0.0000,24.85,0,0,0,0
2023-05-23,G (Feb 2024),25.0500,25.0500,24.9000,25.0500,25.00,0.15,1,0,1
2023-05-24,G (Feb 2024),0.0000,25.0000,25.1500,0.0000,25.075,0.075,0,0,1
2023-05-25,G (Feb 2024),25.0500,25.0500,24.8300,24.8300,24.85,-0.225,30,0,27
2023-05-26,G (Feb 2024),24.4000,24.7000,24.2000,24.2000,24.425,-0.425,15,0,37
2023-05-30,G (Feb 2024),24.0500,24.3000,24.0500,24.2100,24.275,-0.150,20,0,48
2023-05-31,G (Feb 2024),24.3500,24.4600,24.1000,24.3100,24.10,-0.175,15,0,60
2023-06-01,G (Feb 2024),0.0000,24.1000,23.5500,0.0000,23.525,-0.575,0,0,60
2023-06-02,G (Feb 2024),23.3000,23.4500,22.9000,23.0500,23.00,-0.525,33,0,88
2023-06-05,G (Feb 2024),22.9500,23.1000,22.9500,22.9500,22.875,-0.125,5,0,93
2023-06-06,G (Feb 2024),22.6500,22.8000,22.3000,22.3100,22.275,-0.600,21,0,111
2023-06-07,G (Feb 2024),22.3500,22.4500,22.2500,22.3000,22.25,-0.025,108,0,185
2023-06-08,G (Feb 2024),0.0000,22.3000,22.1000,0.0000,22.10,-0.15,0,0,185
2023-06-09,G (Feb 2024),21.8000,22.0500,21.8000,21.8000,21.90,-0.20,1,0,185
2023-06-12,G (Feb 2024),22.2000,22.3000,22.0500,22.3000,21.95,0.05,3,0,187
2023-06-13,G (Feb 2024),21.8000,22.0000,21.8000,22.0000,21.975,0.025,15,0,198
2023-06-14,G (Feb 2024),21.7500,22.0500,21.7000,21.7700,21.775,-0.200,140,0,325
2023-06-15,G (Feb 2024),21.7100,21.8700,21.6500,21.8700,21.875,0.100,18,0,340
2023-06-16,G (Feb 2024),21.9000,22.0500,21.5400,21.7500,21.55,-0.325,142,0,471
