Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2023-01-23,V (Oct 2023),24.2700,24.3000,24.2700,24.2700,24.225,0,1,0,1
2023-01-24,V (Oct 2023),24.1500,24.1900,23.8200,23.8200,23.90,-0.325,42,0,34
2023-01-25,V (Oct 2023),24.1200,24.1200,23.7500,23.8000,23.65,-0.25,71,0,102
2023-01-26,V (Oct 2023),23.5100,23.5600,23.3000,23.3000,23.25,-0.40,83,0,184
2023-01-27,V (Oct 2023),23.2400,23.2500,23.0500,23.1200,23.10,-0.15,55,0,239
2023-01-30,V (Oct 2023),23.3500,23.3500,23.1500,23.1500,23.175,0.075,26,0,262
2023-01-31,V (Oct 2023),23.0000,23.1500,22.9000,23.0000,22.925,-0.250,32,0,294
2023-02-01,V (Oct 2023),23.1200,23.1900,22.8000,22.8000,22.825,-0.100,22,0,314
2023-02-02,V (Oct 2023),22.7000,23.0000,22.6200,22.9000,22.90,0.075,30,0,338
2023-02-03,V (Oct 2023),22.9500,23.3000,22.9500,23.1200,23.05,0.15,27,0,365
2023-02-06,V (Oct 2023),23.2500,23.4500,23.2000,23.3000,23.225,0.175,35,0,389
2023-02-07,V (Oct 2023),23.3600,23.3600,23.0000,23.0500,22.975,-0.250,108,0,415
2023-02-08,V (Oct 2023),23.0100,23.4500,23.0000,23.4500,23.35,0.375,173,0,581
2023-02-09,V (Oct 2023),23.4500,23.7500,23.1300,23.7500,23.65,0.30,80,0,570
2023-02-10,V (Oct 2023),23.8500,24.0500,23.8000,23.9500,24.00,0.35,162,0,541
2023-02-13,V (Oct 2023),24.0000,24.0500,23.5000,23.6000,23.575,-0.425,116,0,641
2023-02-14,V (Oct 2023),23.5000,23.5000,23.2000,23.3100,23.25,-0.325,20,0,652
2023-02-15,V (Oct 2023),23.3500,23.3500,23.0000,23.0000,23.025,-0.225,239,0,698
2023-02-16,V (Oct 2023),23.2000,23.4000,23.0100,23.3700,23.40,0.375,269,0,804
2023-02-17,V (Oct 2023),23.6500,23.8500,23.4500,23.5200,23.50,0.10,134,0,836
2023-02-21,V (Oct 2023),23.7000,24.2000,23.6100,24.1500,24.10,0.60,170,0,930
2023-02-22,V (Oct 2023),24.1500,24.2300,23.8000,23.8000,23.825,-0.275,176,0,1004
2023-02-23,V (Oct 2023),23.8000,23.9000,23.4300,23.4500,23.50,-0.325,1147,0,1984
2023-02-24,V (Oct 2023),23.7000,24.1000,23.5000,23.9000,23.975,0.475,210,0,2058
2023-02-27,V (Oct 2023),23.9000,23.9500,23.5700,23.6500,23.625,-0.350,84,0,2059
2023-02-28,V (Oct 2023),23.7000,23.7000,23.3500,23.5500,23.475,-0.150,305,0,2000
2023-03-01,V (Oct 2023),23.5000,23.7000,23.4400,23.6500,23.70,0.225,560,0,2037
2023-03-02,V (Oct 2023),23.9000,23.9000,23.2000,23.2600,23.225,-0.475,639,0,2391
2023-03-03,V (Oct 2023),23.2500,23.3000,22.8700,22.8700,22.925,-0.300,361,0,2512
2023-03-06,V (Oct 2023),22.8500,22.9000,22.6000,22.6000,22.60,-0.325,196,0,2570
2023-03-07,V (Oct 2023),22.6500,22.8100,22.5400,22.8000,22.80,0.20,422,0,2885
2023-03-08,V (Oct 2023),22.8000,22.8500,22.5500,22.6500,22.65,-0.15,477,0,3288
