Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2023-04-24,F (Jan 2024),0.0000,23.6500,27.0000,0.0000,25.00,0,0,0,0
2023-04-25,F (Jan 2024),24.2000,25.2100,24.2000,25.2000,25.20,0.20,24,0,24
2023-04-26,F (Jan 2024),25.0500,25.1100,24.8400,25.0200,24.975,-0.225,91,0,114
2023-04-27,F (Jan 2024),24.8000,24.8500,24.8000,24.8000,24.875,-0.100,1,0,115
2023-04-28,F (Jan 2024),24.9400,25.0300,24.8000,24.9600,24.975,0.100,54,0,165
2023-05-01,F (Jan 2024),25.0500,25.0500,24.6900,24.8500,24.775,-0.200,243,0,407
2023-05-02,F (Jan 2024),24.8100,25.5500,24.8100,25.0800,25.075,0.300,454,0,851
2023-05-03,F (Jan 2024),25.1300,25.5500,25.0500,25.4700,25.35,0.275,317,0,1147
2023-05-04,F (Jan 2024),25.4500,25.8500,25.4000,25.6100,25.725,0.375,126,0,1264
2023-05-05,F (Jan 2024),25.5000,25.5000,24.9500,25.2800,25.175,-0.550,120,0,1372
2023-05-08,F (Jan 2024),25.2600,25.3300,25.1500,25.2000,25.15,-0.025,43,0,1410
2023-05-09,F (Jan 2024),25.1500,25.1500,25.0000,25.1500,25.05,-0.10,11,0,1419
2023-05-10,F (Jan 2024),25.1500,25.2500,24.8500,24.8600,24.875,-0.175,29,0,1417
2023-05-11,F (Jan 2024),24.8600,25.0000,24.7600,24.7700,24.75,-0.125,25,0,1429
2023-05-12,F (Jan 2024),24.6500,24.9000,24.6000,24.8100,24.80,0.05,29,0,1448
2023-05-15,F (Jan 2024),24.7500,24.9000,24.6900,24.7000,24.775,-0.025,72,0,1504
2023-05-16,F (Jan 2024),24.9000,25.1000,24.9000,25.0800,25.10,0.325,10,0,1505
2023-05-17,F (Jan 2024),25.0500,25.1000,24.7500,24.8000,24.825,-0.275,75,0,1518
2023-05-18,F (Jan 2024),24.7800,24.8000,24.6000,24.7000,24.725,-0.100,210,0,1550
2023-05-19,F (Jan 2024),24.6500,25.0000,24.5300,24.9200,24.925,0.200,207,0,1622
2023-05-22,F (Jan 2024),25.1000,25.1000,24.6900,24.7500,24.775,-0.150,159,0,1697
2023-05-23,F (Jan 2024),24.7900,24.9500,24.6000,24.8400,24.825,0.050,143,0,1754
2023-05-24,F (Jan 2024),24.8000,24.9500,24.8000,24.9500,24.90,0.075,118,0,1750
2023-05-25,F (Jan 2024),24.7500,24.9400,24.6000,24.6900,24.70,-0.20,259,0,1770
2023-05-26,F (Jan 2024),24.6000,24.6500,24.1000,24.1900,24.25,-0.45,55,0,1756
2023-05-30,F (Jan 2024),24.1000,24.3000,23.8500,24.1000,24.10,-0.15,275,0,1869
2023-05-31,F (Jan 2024),24.1000,24.2600,23.9000,24.0000,24.00,-0.10,379,0,2040
2023-06-01,F (Jan 2024),23.9500,24.0000,23.3000,23.3500,23.3645,-0.6355,208,0,2102
2023-06-02,F (Jan 2024),23.3500,23.3500,22.6500,22.8800,22.8729,-0.4916,439,0,2264
2023-06-05,F (Jan 2024),22.9000,22.9600,22.7000,22.7000,22.675,-0.1979,178,0,2329
2023-06-06,F (Jan 2024),22.7000,22.7000,21.9500,22.1000,22.0942,-0.5808,344,0,2398
2023-06-07,F (Jan 2024),22.0500,22.2500,22.0400,22.1000,22.10,0.0058,504,0,2547
2023-06-08,F (Jan 2024),22.1000,22.1500,21.7500,21.8200,21.7625,-0.3375,342,0,2550
2023-06-09,F (Jan 2024),21.8000,21.8500,21.6500,21.6900,21.70,-0.0625,182,0,2635
2023-06-12,F (Jan 2024),21.6500,21.9500,21.6500,21.6500,21.725,0.025,187,0,2626
2023-06-13,F (Jan 2024),21.6800,21.7500,21.5000,21.7500,21.675,-0.050,207,0,2723
2023-06-14,F (Jan 2024),21.8000,21.8300,21.4300,21.4800,21.50,-0.175,492,0,2918
2023-06-15,F (Jan 2024),21.5000,21.6500,21.3700,21.6000,21.65,0.15,251,0,2911
2023-06-16,F (Jan 2024),21.6000,21.6700,21.1900,21.3500,21.25,-0.40,344,0,2959
